utility_id_irp,emissions_co2_1point5c,emissions_co2_historical,emissions_co2_target_all_years,emissions_co2_irp,emissions_co2_target_above_1point5c,emissions_co2_irp_above_1point5c,emissions_co2_irp_above_target,emissions_co2_irp_social_cost,emissions_co2_target_social_cost,emissions_co2_1point5c_social_cost,emissions_co2_target_above_1point5c_social_cost,emissions_co2_irp_above_1point5c_social_cost,emissions_co2_1point5c_remaining,emissions_co2_irp_above_1point5c_pct,emissions_co2_irp_above_target_pct
10000,234.52724187095754,184.11429890618072,69.43422786817443,100.80781738051375,19.021284903397593,50.39487441573692,31.373589512339333,4126873861.4696636,2914258497.649258,14014851808.33958,910337285.5521922,2122952649.3725977,50.41294296477682,21.487855318515784,12.373800751861666
10005 and 22500,274.0840055149597,261.0075949444657,100.36792193049435,130.25751080871163,87.29151136000038,117.18110023821767,29.88958887821729,5409750021.7213125,4209870965.0137854,16555680056.3561,4480932453.79215,5680811510.499677,13.076410570493977,42.75371706497548,8.271060844600443
10171 and 11249,571.6738598936666,534.7319361723614,268.52985942437556,344.3332543131539,231.58793570307037,307.39133059184866,75.80339488877829,14058498617.57486,11163367012.852232,34656201365.35231,10940615942.1346,13835747546.857227,36.941923721305216,53.7704016498191,9.436947618362023
10331,31.8550129982134,30.311638294253417,18.57589128681657,14.923601449129794,17.032516582856584,13.380226745169809,-3.6522898376867756,611696254.4044106,750636530.0915456,1959002745.8333874,756232670.4069624,617292394.7198274,1.5433747039599837,42.003519966920884,-7.470800568128931
11118,1.3018181509110953,1.0318502712689395,0.4625362312632578,0.3663423978840676,0.19256835162110184,0.09637451824191157,-0.09619383337919027,15015877.307752704,18690709.711650833,78653511.55097166,8522566.852172125,4847734.448273995,0.26996787964215585,7.4030707111022025,-6.4370116577065195
11241,401.0674634279654,294.9624340953345,171.9875842623893,217.28775556095007,65.88255492975844,111.1827262283192,45.300171298560755,8866788290.404207,7122739679.49228,22945017084.599754,2705935404.653594,4449984015.565521,106.10502933263086,27.721701799998648,9.701289113957575
11479,49.70032199138546,42.094408348232285,17.107905704331234,27.833109229513944,9.501992061178063,20.22719558636077,10.725203525182708,1131212536.6022022,718030000.5291964,3008734526.155171,431020791.5851099,844203327.6581156,7.605913643153173,40.69831899653838,18.116189707821555
1167,174.55932740551205,167.89213140271494,78.86388919738145,63.358103949786276,72.19669319458434,56.690907946989164,-15.505785247595181,2596954562.500022,3186825074.6417656,10818317439.644747,3675950384.0189033,3086079871.877159,6.667196002797112,32.47658477469537,-6.28385285590439
1179,5.3684415347652505,2.91061951904396,2.5834564922333887,2.073288606496664,0.12563447651209797,-0.3845334092246271,-0.510167885736725,84981020.11209232,104395357.78015864,293665271.1861484,-10884093.227258239,-30298430.895324543,2.4578220157212907,-7.1628499022378165,-9.285781352306286
11804,68.21739411694479,65.732184826159,26.41944169973766,21.225307386577434,23.934232408951864,18.740098095791637,-5.194134313160227,869993817.2025889,1067587968.6333779,4395855014.0994425,1039891178.3295491,842297026.8987601,2.4852092907857894,27.471143303518115,-5.636508555495284
12087,8.421439834809997,19.32760089880285,51.487395998636416,41.364226656649976,62.39355706262926,52.27038772064282,-10.123169341986438,1695458204.1376657,2080563439.9515858,425819190.21009696,2708556769.408876,2323451533.594956,-10.906161063992853,620.6823149716433,-14.29523375768516
12199,57.03520124328096,42.190158771524686,30.536315378453374,25.025319096278842,15.691272906697103,10.18027662452257,-5.510996282174533,1017373307.2578306,1237003523.8636355,3343755661.0050306,587658346.9346212,368028130.3288163,14.845042471756273,17.849111430499,-7.577703094487491
12341,450.27820447494753,295.98717453796075,94.59838822201218,125.16853101403645,-59.69264171497461,-29.122498922950342,30.57014279202427,5092008607.755656,3907133379.519846,27167492717.815933,-3677700652.77725,-2492825424.541439,154.29102993698677,-6.46766790697964,7.826746737899931
12390,78.93015996589978,73.54829348698385,22.534457606342364,24.419154841452983,17.152591127426433,19.03728836253705,1.8846972351106175,1000904882.3204209,930725492.875024,5149364209.656009,869258826.3190595,939438215.7644565,5.381866478915924,24.119155935781375,1.961535461531478
12465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
12524,25.87546049330788,21.285634079521788,17.50982025389716,14.150701209319067,12.919993840111067,9.560874795532975,-3.3591190445780925,579632353.768071,707557474.0922426,1544272701.1923952,525375385.4265298,397450265.1023582,4.589826413786092,36.94958316975918,-8.658537713487997
12647,168.0521531993048,137.96380946645488,51.37107712847695,55.19374527102269,21.282733395627012,25.10540153817275,3.822668142545738,2282009948.041313,2129219068.0945098,10284606944.693626,944352716.368423,1097143596.3152266,30.08834373284992,14.939053776001607,2.0189983004685543
12685,162.40906007135882,126.43431328969174,52.503790449106354,59.52728953806597,16.52904366743929,23.55254275639891,7.023499088959621,2451698945.9929996,2161639349.971579,9855002789.231647,539824637.7095475,829884233.7309681,35.97474678166708,14.501988217929753,3.925099764783501
12686,143.0332659182383,100.2195438799464,47.867285665342806,56.65526450149807,5.053563627050906,13.84154246320617,8.787978836155265,2303286046.7846293,1971892705.9099422,8610536588.796026,-73225412.4690967,258167928.40559068,42.8137220382919,9.677149140339404,5.934341941912969
12698 and 56211,113.36055485396243,104.02972518518517,52.07542108942967,52.97396300164172,42.74459142065241,43.64313333286447,0.8985419122120564,2187786289.36806,2137999179.0494444,6688368488.461839,2085751684.7275739,2135538795.0461898,9.330829668777255,38.49939989186544,0.5756004421733619
12825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
