ticker,parent_name,utility_name,utility_id_eia,utility_id_ferc1_dbf,utility_id_irp,entity_type_eia,utility_type_rmi,public_private_unmapped,ferc_irp_data_available,has_ferc_data,has_irp_data,gross_profit,gross_profit_fraction_of_parent,net_generation_owned_2005,net_generation_owned_2021,emissions_co2_owned_2005,emissions_co2_owned_2021,net_generation_delivered_2005,net_generation_delivered_2021,emissions_co2_delivered_2005,emissions_co2_delivered_2021,emissions_co2_1point5c,emissions_co2_historical,emissions_co2_target_all_years,emissions_co2_irp,emissions_co2_1point5c_remaining,emissions_co2_irp_above_1point5c,emissions_co2_irp_above_1point5c_social_cost
AVA,Avista Corp.,Avista Corp.,20169,187,20169,Investor Owned,Vertically Integrated,public,FERC & IRP,True,True,464412412.0,0.502947222276371,7.230646503257042,7.2130988163000005,2.360166863072864,2.272438300041832,9.074076870615771,9.587962252566024,2.777577388374793,2.441980708704297,54.54961475992185,40.614748003983394,23.50406432127886,21.414650918271644,13.934866755938458,7.479784162333185,209296561.62601894
AVA,Avista Corp.,Alaska Electric Light & Power Co.,213,3,213,Investor Owned,Vertically Integrated,public,FERC,True,False,25564497.0,0.02768572161900492,0.06662800400000002,0.14212,0.0,0.00062812696802758,0.40331585444976137,0.5363289125388969,0.14747670965957607,0.12856784398096496,3.2623924761559664,2.473463665226347,1.7972017602483887,1.4697367824221985,0.7889288109296193,0.6808079714925792,24855271.46133278
,Basin Electric Power Coop.,Basin Electric Power Coop.,1307,531,1307,Cooperative,Cooperative,private,FERC & IRP,True,True,660624056.0,,16.76386636133333,17.392849695899706,17.318542361674133,16.366144812753003,0.9587808176468275,1.0974885604074103,1.0151957074069222,0.7667800262848028,20.648772727972556,17.302015178279454,10.73492036798724,10.334791439233602,3.346757549693102,6.988033889540501,293580763.8478616
,Bear Valley Electric Service,"Bear Valley Electric Service, Inc.",17612,537,17612,Investor Owned,Wires Only,private,FERC,True,False,15502000.0,,,0.001906,,0.0009281084100928501,0.148455,0.17411715334676348,0.08791924751703963,0.04171360102244945,1.7574824630518464,0.8498592096225227,0.5839904143142923,0.4714014630722251,0.9076232534293237,-0.43622179035709874,-28637566.395791203
BRK-B,"Berkshire Hathaway, Inc.",Pacificorp,14354,134,14354,Investor Owned,Vertically Integrated,public,FERC & IRP,True,True,2769273363.0,0.029358537020545767,50.532602572287,52.928183492629024,46.68947780069361,36.2847162142201,52.16658884195784,58.895826999037595,42.839982110524964,35.77300396745434,913.2027812522043,697.9031479793779,371.29911014495707,356.9315094864511,215.29963327282644,141.63187621362474,4960844641.123348
BRK-B,"Berkshire Hathaway, Inc.",MidAmerican Energy Co.,12341,210,12341,Investor Owned,Vertically Integrated,public,FERC,True,False,1633390522.0,0.017316440027139918,19.162189521666363,40.92146499030543,18.7591419116307,12.527781056321913,20.81728147939565,28.559781895605568,17.837261632077187,9.116892804566616,476.9458940085017,296.15871179246517,94.62705979912245,125.07544765305256,180.7871822160365,-55.711734562983935,-4068216064.67982
BRK-B,"Berkshire Hathaway, Inc.",Nevada Power Co.,13407,108,13407,Investor Owned,Vertically Integrated,public,FERC & IRP,True,True,967580031.0,0.010257829559188346,8.544754768235295,14.691938,7.275530572980191,5.981093778434153,21.09131181822934,20.7538294615174,12.938642861428686,7.405583501095752,243.68983253580438,165.68518060894274,76.86484944240762,84.86337219695447,78.00465192686164,6.858720270092839,-322251727.61288965
BRK-B,"Berkshire Hathaway, Inc.",Sierra Pacific Power Co.,17166,157,17166,Investor Owned,Vertically Integrated,public,FERC & IRP,True,True,325462956.0,0.0034504055721646205,3.6118525009999995,5.531269008,2.8829527825261234,2.9733444907461872,8.9651782623028,10.776197563106782,6.041793006443708,4.822235536329812,116.1877958615159,82.7302484961346,50.05147918742321,51.06942237999633,33.45754736538129,17.611875014615045,552799850.9325254
BRK-B,"Berkshire Hathaway, Inc.",Missing Respondent 527,,527,,,Wires Only,public,FERC,True,False,3775717.0,4.0028380298115045e-05,,,,,,,,,,,,,,,
BKH,Black Hills Corp.,"Black Hills Power, Inc.",19545,12,19545,Investor Owned,Vertically Integrated,public,FERC & IRP,True,True,165490628.0,0.1373894102049169,2.5020407970000003,1.8659741646,2.958633094422848,1.8040928413821677,2.021506850115246,2.00352135851029,2.149290394743239,1.6867474777398983,38.305527314525634,33.90451197849025,20.25835973922785,20.235533314880698,4.401015336035385,15.834517978845318,700987948.3921323
