ticker,year,net_generation_mwh,net_generation_mwh_1point5c,emissions_co2_historical,emissions_co2_irp,emissions_co2_target_all_years,emissions_co2_1point5c
AEE,2005,41177475.02358689,41177475.02358689,33.67150686244864,,,33.67150686244864
AEE,2006,41058809.435118146,41058809.435118146,32.00729428242642,,,32.603674883276945
AEE,2007,42707084.50870672,42707084.50870672,32.70574958525166,,,34.41586948720795
AEE,2008,41925705.31218889,41925705.31218889,32.506628267631655,,,33.70030165981538
AEE,2009,38284049.90544462,38284049.90544462,28.942633985080935,,,29.477677167016047
AEE,2010,40563703.42502444,40563703.42502444,30.73628131415107,,,31.81582376528841
AEE,2011,39024721.371786594,39024721.371786594,29.9746619199345,,,29.525418944942988
AEE,2012,38319431.727403946,38319431.727403946,27.96345057345483,,,27.897456674820212
AEE,2013,38897326.372104205,38897326.372104205,29.714378186530706,,,28.599303392819284
AEE,2014,39146986.0945504,39146986.0945504,29.96409133374867,,,28.744498585516023
AEE,2015,38184086.49019707,38184086.49019707,26.712236104983305,,,26.275798351115643
AEE,2016,35114553.99187433,35114553.99187433,24.434998417530736,,,23.101288572186125
AEE,2017,33830680.3612633,33830680.3612633,25.27022157947586,,,21.746454716769694
AEE,2018,36190954.10545168,36190954.10545168,24.56347320113716,,,22.80600208594971
AEE,2019,34855610.49133132,34855610.49133132,21.416299863962994,,,20.450125936804707
AEE,2020,33376143.20156465,33376143.20156465,21.911567949940896,,,18.15483626139359
AEE,2021,34575408.29345328,34575408.29345328,24.92150849696628,,,19.483819890619912
AEE,2022,36892040.61719873,35328097.32813831,,22.27543733686293,24.22401986870294,17.059438655100518
AEE,2023,37659168.61059206,35674024.903624184,,21.99351135803901,23.526531240439596,15.067667639294722
AEE,2024,38446906.943262875,36222108.220251806,,21.729017226213564,22.82904261217625,13.382124335454671
AEE,2025,39251234.813533306,37085734.29852516,,18.733838691036727,22.131553983912905,11.91719562710281
AEE,2026,40031939.72158847,38388526.60366775,,18.35900275766093,21.434065355649565,10.612767041384636
AEE,2027,40842681.47927005,40282365.30711112,,17.99832959174241,20.736576727386222,9.42776857271119
AEE,2028,41502656.87323898,42937789.2277771,,17.659519252009893,20.03908809912288,8.3346911846603
AEE,2029,42155984.26133129,46515144.65446919,,17.297483807861543,19.341599470859535,7.316608062738254
AEE,2030,42839640.689290375,51111004.58384974,,14.552118229786101,18.64411084259619,6.365161370191298
AEE,2031,43384394.7957272,56686446.59934401,,14.626217579633174,17.428314252228713,5.478493382882695
AEE,2032,44040069.16418955,63007308.52063252,,14.445380356389228,16.212517661861234,4.658899607425913
AEE,2033,44644715.89849769,69644859.27534865,,14.254257307753774,14.996721071493754,3.910492274857964
AEE,2034,45259719.32072125,76066850.53936225,,14.074591289892105,13.780924481126274,3.2372519875410695
AEE,2035,45844519.09643459,81787679.03768803,,13.89802370155095,12.565127890758795,2.641686372847463
AEE,2036,46475643.03598163,86495611.16690838,,10.716794669562281,11.349331300391317,2.1241194214641155
AEE,2037,46871259.1156993,90093153.53317286,,10.584830915575814,10.133534710023836,1.682510556060392
AEE,2038,47377608.86207684,92653844.47728221,,10.45687321732298,8.917738119656356,1.3126558991815662
AEE,2039,47849791.47430361,94344308.26657052,,10.332659153703943,7.7019415292888755,1.0086258798689356
AEE,2040,48358437.44457948,95356125.08382653,,10.244806622678292,6.486144938921397,0.7633147102081413
AEE,2041,48607218.81712341,95864902.33286199,,10.14586201434204,5.965089257335334,0.5690052744534959
AEE,2042,48888470.86015827,96013629.25414445,,6.9828534365258745,5.4440335757492715,0.4178808592104534
AEE,2043,49171831.22731386,95910828.2698927,,6.539690021883112,4.922977894163209,0.30244180799641435
AEE,2044,49487693.75624535,95635351.67379218,,6.489119043330407,4.401922212577146,0.21580815791040972
AEE,2045,49744940.270214334,95242950.81096587,,7.689906092076072,3.8808665309910837,0.15190778108657454
AEE,2046,50034720.911144294,94772374.13119648,,7.585923687248851,3.3598108494050214,0.10556251675092948
AEE,2047,50326673.80834804,94250261.67236872,,7.4841133666762705,2.8387551678189586,0.07249204006686491
AEE,2048,50651193.27872951,93694798.01804623,,7.387535226550439,2.317699486232896,0.0492585049856249
AEE,2049,50917161.62839164,93118334.04460764,,7.286950262448506,1.7966438046468332,0.03317375476060747
AEE,2050,51215729.485718735,92529225.39281136,,7.191562346741075,1.2755881230607704,0.022188193129172425
AEP,2005,107910508.87745011,107910508.87745011,82.87028045242421,,,82.87028045242421
AEP,2006,109057004.60741195,109057004.60741195,83.2435302570016,,,81.82695088013205
AEP,2007,106415640.15678927,106415640.15678927,77.205662664473,,,79.41531994506856
AEP,2008,100805246.18158558,100805246.18158558,73.6237472955029,,,75.34895152084808
AEP,2009,100448629.60297033,100448629.60297033,78.26949965945454,,,71.42402058958825
AEP,2010,107366664.09149942,107366664.09149942,79.70108591531752,,,77.91867754377563
AEP,2011,106583495.92936832,106583495.92936832,76.37738113948414,,,74.69159885320606
AEP,2012,103310948.15046126,103310948.15046126,75.70310161609622,,,69.62862144836332
AEP,2013,106650703.92203392,106650703.92203392,73.7699598552817,,,72.69237180969047
AEP,2014,103876320.12556227,103876320.12556227,68.59377294136469,,,70.18622900410602
AEP,2015,104013518.17684099,104013518.17684099,73.13953175502658,,,65.96734199755498
AEP,2016,104416048.90786138,104416048.90786138,62.35859183151566,,,62.973029777213675
AEP,2017,102206269.2899226,102206269.2899226,73.2473269282625,,,60.242181805942145
AEP,2018,109475039.0883406,109475039.0883406,72.64021486029027,,,63.663824319694676
AEP,2019,103788696.45407468,103788696.45407468,58.9405737735211,,,55.89598159670472
AEP,2020,98948509.67068636,98948509.67068636,49.10536837231734,,,49.249502917090346
AEP,2021,105226675.24624425,105226675.24624425,57.088173156069715,,,54.485488740648584
AEP,2022,105015458.96963686,107517406.39081925,,57.025377052183686,55.19455309574727,47.70583273620536
AEP,2023,105116966.14494824,108570201.14989851,,54.8909155220871,53.30093303542482,42.13594870602693
AEP,2024,105232287.75918454,110238235.97618802,,51.19902452896903,51.40731297510237,37.422414541842514
AEP,2025,105353836.26847537,112866592.52664024,,46.53232473072509,49.51369291477992,33.32581761717147
AEP,2026,105534256.4852777,116831506.01784267,,44.05928039944986,47.62007285445747,29.678050935939503
AEP,2027,105686376.62692264,122595208.02606267,,42.77659786385781,45.72645279413502,26.36426436405293
AEP,2028,105860331.9312707,130676715.78931111,,40.378080584801324,43.83283273381257,23.30753031222684
AEP,2029,105976765.68252757,141564026.63550565,,39.348364198889755,41.93921267349012,20.46051382429301
AEP,2030,106138377.39467731,155551050.48093987,,38.066685573765525,40.04559261316767,17.799842644559316
AEP,2031,106300096.84924331,172519330.9807472,,36.926132590660465,39.10379799226326,15.320321744119532
AEP,2032,106424442.46926421,191756219.78398705,,36.22290630089093,38.16200337135886,13.028370387801829
AEP,2033,106508818.03700647,211956918.26219493,,35.36126617800428,37.220208750454454,10.935488215775527
AEP,2034,106607851.69848815,231501583.7492119,,36.446412130871934,36.27841412955004,9.052806775468468
AEP,2035,106701203.2975919,248912332.95638087,,35.50985812296934,35.33661950864564,7.3873385163757925
AEP,2036,106804121.99032012,263240436.93821096,,34.9469640775019,34.394726913851436,5.93998946159904
AEP,2037,106887917.44547503,274189184.64486337,,36.737773010939,33.45283431905724,4.705053242787606
AEP,2038,106983089.29753546,281982382.40249664,,36.011331079044844,32.51094172426304,3.6707739353326376
AEP,2039,107105686.68176274,287127133.916672,,35.41074603520247,31.56904912946884,2.8205698025151045
AEP,2040,107223584.8742353,290206493.6377327,,34.9980899993111,30.62715653467464,2.1345698780884126
AEP,2041,107277419.84183434,291754904.5170069,,34.3801383178751,29.68539459033663,1.5911936493280325
AEP,2042,107324545.29951108,292207539.50292915,,33.93353815769194,28.74363264599862,1.168582083865655
AEP,2043,107372571.26717134,291894675.3512453,,33.495411425439336,27.801870701660608,0.8457627824933532
AEP,2044,107432780.5519551,291056290.85351837,,33.10902650316804,26.8601087573226,0.6034962868666524
AEP,2045,107471320.78166495,289862059.456205,,32.64416784835895,25.918346812984588,0.42480220729171037
AEP,2046,107522042.38616246,288429908.05425256,,32.23083221353813,25.917873995478196,0.2952000865413614
AEP,2047,107573660.61591767,286840912.8446865,,31.82553386913779,25.917401177971808,0.20272021888024883
AEP,2048,107637458.33083653,285150416.72477365,,31.474700205740277,25.91692836046542,0.1377488466759819
AEP,2049,107679583.21138045,283396008.30797803,,31.038566606444316,25.916455542959028,0.09276867942945287
AEP,2050,107733885.7399634,281603117.12181497,,30.65664930976387,25.91598272545264,0.06204812781588468
AES,2005,20048370.154368676,20048370.154368676,18.928924397560547,,,18.928924397560547
AES,2006,21394123.051703185,21394123.051703185,20.104557896593292,,,19.542918684193822
AES,2007,19393892.238952816,19393892.238952816,18.29585630652117,,,18.066774592265716
