ticker,parent_name,market_cap,market_cap_included,market_cap_excluded,gross_profit,gross_profit_included,gross_profit_excluded,gross_profit_fraction,net_generation_owned_2022,net_generation_delivered_2022,emissions_co2_owned_2022,emissions_co2_delivered_2022,emissions_co2_1point5c,emissions_co2_historical,emissions_co2_target_all_years,emissions_co2_irp,emissions_co2_1point5c_remaining,emissions_co2_irp_above_1point5c,emissions_co2_irp_above_target,emissions_co2_fraction_budget_used,emissions_co2_fraction_budget_projected,emissions_co2_irp_above_1point5c_pct,emissions_co2_irp_ratio_to_current,emissions_co2_irp_above_1point5c_social_cost
AA,Alcoa Corp.,8973270000.0,,,2999000000.0,,,,,,,,,,,,,,,,,,,
AEE,Ameren Corp.,23178540000.0,18125045577.920902,5053494422.079098,4765000000.0,3726112265.0,1038887735.0,0.7819752917103883,37.822066416,43.202323486753585,26.339008452180042,28.38216034699054,663.7822795050869,587.2820625223638,286.31011435801094,278.87834914682344,76.50021698272299,202.3781321641004,-7.431765211187496,88.47510405975868,42.01352729011595,30.48863134987464,9.825832344590848,8690606401.99955
AEP,"American Electric Power Co., Inc.",49882588200.0,34971763840.319496,14910824359.680504,11325700000.0,7940239671.1706,3385460328.8294,0.7010815818157465,72.6829401468046,96.27530812355933,47.16406771015683,54.46050382092764,1382.5091761892102,1257.3939958806757,529.9406538277269,485.30150619535755,125.11518030853443,360.18632588682317,-44.63914763236937,90.95013744115568,35.10295009636444,26.05308753752012,8.911072651679543,16765255026.366934
AES,AES Corp.,20562120000.0,6257323016.783885,14304796983.216114,2711000000.0,824992884.902,1886007115.098,0.30431312611656214,19.004990507000002,17.69315799905101,15.668027495181128,11.653396686433625,368.73918325995055,339.02841746245196,95.84937231171965,96.90894475550554,29.71076579749857,67.19817895800696,1.0595724437858962,91.94260682175636,26.28116271743964,18.223769539195995,8.315939752426235,3332058477.5784583
AGR,"Avangrid, Inc.",16563992200.0,4740977204.0195675,11823014995.980433,5255000000.0,1504096048.0,3750903952.0,0.28622189305423407,0.2378537,14.769316068161608,0.02605940242198004,3.3746983582835868,101.00936173560788,72.78958177427899,43.834017126376985,37.840773521939,28.219779961328896,9.620993560610103,-5.9932436044379855,72.06221336672317,37.46263996894393,9.524853335667109,11.21308321647606,245545122.36532456
ALE,"Allete, Inc.",3786640000.0,2333201508.4478173,1453438491.5521827,788000000.0,485539367.0,302460633.0,0.6161667093908629,6.966267008832598,9.569585289711044,4.762159747428997,5.2602622571936735,181.2900114115347,153.95636867227918,49.98188179538148,52.567922764188076,27.333642739255517,25.23428002493256,2.586040968806593,84.92269787704565,28.996590796641875,13.919288673687518,9.99340340727286,1109103459.4124012
AMRC,"Amaresco, Inc.",3492019400.0,,,230357000.0,,,,,,,,,,,,,,,,,,,
ATO,,16974644000.0,,,2374773000.0,,,,,,,,,,,,,,,,,,,
AVA,Avista Corp.,3025741400.0,1574389782.0610158,1451351617.9389842,941813000.0,490055351.0,451757649.0,0.5203319034670365,8.13935127305,10.29553062313249,2.5442001800585947,2.7110794268746705,54.69673432012583,45.03969939416157,24.99772941267795,22.049358484366223,9.657034925964254,12.39232355840197,-2.948370928311725,82.34440310559653,40.312020010768904,22.656423116365428,8.13305514615066,468822907.20673984
AWK,American Water Works Co.,27620320000.0,,,,,,,,,,,,,,,,,,,,,,
AWR,American States Water Co.,3629745600.0,,,398596000.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0
BAM,Brookfield Asset Management,61891279600.0,,,75615000000.0,,,,0.9160659989999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0
BKH,Black Hills Corp.,4660319400.0,1337062274.0118978,3323257125.988102,1207168000.0,346340809.0,860827191.0,0.2869035701741597,3.1546235604,6.225594069158456,2.748276088651484,4.901364884746767,91.48487484900284,78.29881859652363,46.172197629003314,52.28760591199944,13.186056252479204,39.10154965952023,6.115408282996128,85.58662699791306,57.15437223726973,42.740999235182784,10.66796844175394,1711341485.094659
BRK-B,"Berkshire Hathaway, Inc.",704544824900.0,30876455495.56122,673668369404.4387,139321000000.0,6105699033.0,133215300967.0,0.043824685675526304,114.69820595908774,120.87820908051307,53.74930978244144,54.56017917188346,1661.6695031498316,1294.7635160257921,531.9617469258638,563.7415133865663,366.9059871240396,196.83552626252686,31.77976646070249,77.91943666122903,33.92621169961583,11.845648360844855,10.332471812649025,6501395571.444451
CEG,Constellation Energy Corp.,31527360000.0,,,7486000000.0,,,,,,,,,,,,,,,,,,,
CLH,,6525720000.0,,,1195729000.0,,,,,,,,,,,,,,,,,,,
CMS,CMS Energy Corp.,17716407000.0,8907543656.057182,8808863343.942818,4259000000.0,2141361306.0,2117638694.0,0.5027849978868278,18.71793914506179,35.61524919102678,13.335694202081273,19.348930569613625,431.02310009271025,388.44145069252033,153.7165039697082,165.9741179815243,42.58164940018992,123.39246858133436,12.257614011816088,90.12079645127352,38.50701225661092,28.62780870788444,8.577947881118403,5790956940.078857
CNP,"CenterPoint Energy, Inc.",19692630000.0,6636798049.848856,13055831950.151144,6017000000.0,2027845639.0,3989154361.0,0.3370193849094233,4.874275013894426,4.816041321322092,4.797141203257425,4.387275035522175,87.45824503562169,92.33912401732097,28.869865172500464,24.93386578873086,-4.880878981699283,29.81474477043014,-3.9359993837696052,105.58081056818749,28.50945131425323,34.090261882440714,5.683223774860338,1605010630.8548672
CPK,Chesapeake Utilities Corp.,2133513500.0,,,383018000.0,,,,,,,,,,,,,,,,,,,
