year,utility_id_irp,target_type,net_generation_mwh,net_generation_mwh_1point5c,emissions_co2_historical,emissions_co2_irp,emissions_co2_1point5c,emissions_co2_target,emissions_co2_target_all_years,ticker,parent_name,fraction_owned_utility,utility_name_irp
2032,61576,Utility/Parent,8185037.49461911,14915722.131155867,,3.3985702983727237,1.0029468038590392,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2033,61576,Utility/Parent,8185037.49461911,16487029.730438095,,3.2866139603542988,0.8418330633982495,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2034,61576,Utility/Parent,8185037.49461911,18007307.924695037,,3.1783457089493816,0.6969009439515528,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2035,61576,Utility/Parent,8185037.49461911,19361599.835340332,,3.073644050519386,0.5686902761807309,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2036,61576,Utility/Parent,8185037.49461911,20476108.756615657,,2.9723914936918763,0.45727080733327935,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2037,61576,Utility/Parent,8185037.49461911,21327755.074323237,,2.874474417517169,0.3622032511647546,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2038,61576,Utility/Parent,8185037.49461911,21933947.52219768,,2.7797829439681423,0.28258261597919626,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2039,61576,Utility/Parent,8185037.49461911,22334131.06829453,,2.6882108146401826,0.21713241060005967,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2040,61576,Utility/Parent,8185037.49461911,22573658.495321177,,2.5996552715129018,0.16432293319254968,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2041,61576,Utility/Parent,8185037.49461911,22694101.349514537,,2.5140169416398255,0.1224928780355017,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2042,61576,Utility/Parent,8185037.49461911,22729309.478275426,,2.4311997256366604,0.0899594984770571,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2043,61576,Utility/Parent,8185037.49461911,22704973.39803473,,2.351110689842989,0.06510830244117397,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2044,61576,Utility/Parent,8185037.49461911,22639759.81476087,,2.2736599620364086,0.0464582026790098,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2045,61576,Utility/Parent,8185037.49461911,22546866.746141277,,2.198760630582065,0.0327020190087926,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2046,61576,Utility/Parent,8185037.49461911,22435467.113913793,,2.126328646904423,0.02272502043484838,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2047,61576,Utility/Parent,8185037.49461911,22311867.41508617,,2.0562827311718346,0.01560575801513228,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2048,61576,Utility/Parent,8185037.49461911,22180372.486698333,,1.988544281088059,0.010604147824834338,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2049,61576,Utility/Parent,8185037.49461911,22043906.152104527,,1.9230372836883876,0.0071414956562109045,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2050,61576,Utility/Parent,8185037.49461911,21904446.442404725,,1.8596882300414062,0.004776573709989405,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2005,10331,Utility/Parent,2154987.9999999995,2154987.9999999995,1.893276232277693,,1.893276232277693,0.0,,AEP,"American Electric Power Co., Inc.",1.0,Kingsport Power Co.
2006,10331,Utility/Parent,2043883.9999999998,2043883.9999999998,1.7967787133202606,,1.7426441341201333,0.0,,AEP,"American Electric Power Co., Inc.",1.0,Kingsport Power Co.
2007,10331,Utility/Parent,2233440.9999999995,2233440.9999999995,2.024902308763471,,1.9131121399823967,0.0,,AEP,"American Electric Power Co., Inc.",1.0,Kingsport Power Co.
2008,10331,Utility/Parent,2286562.0,2286562.0,2.047643866331616,,1.929824200235025,0.0,,AEP,"American Electric Power Co., Inc.",1.0,Kingsport Power Co.
2009,10331,Utility/Parent,2216161.0,2216161.0,2.0644153899915,,1.7800545133679082,0.0,,AEP,"American Electric Power Co., Inc.",1.0,Kingsport Power Co.
2010,10331,Utility/Parent,2290992.0000000005,2290992.0000000005,2.0642585185917453,,1.8643776613613092,0.0,,AEP,"American Electric Power Co., Inc.",1.0,Kingsport Power Co.
2011,10331,Utility/Parent,2187048.0,2187048.0,1.9557784519594699,,1.7083562155397665,0.0,,AEP,"American Electric Power Co., Inc.",1.0,Kingsport Power Co.
2012,10331,Utility/Parent,2114212.0000000005,2114212.0000000005,1.8914841454641882,,1.563245830809184,0.0,,AEP,"American Electric Power Co., Inc.",1.0,Kingsport Power Co.
2013,10331,Utility/Parent,2108475.0,2108475.0,1.7559477737256168,,1.5713407983643686,0.0,,AEP,"American Electric Power Co., Inc.",1.0,Kingsport Power Co.
2014,10331,Utility/Parent,2183218.0,2183218.0,1.8126731247967747,,1.6160400306394793,0.0,,AEP,"American Electric Power Co., Inc.",1.0,Kingsport Power Co.
2015,10331,Utility/Parent,2146409.0,2146409.0,1.7734685305597508,,1.4886810594010595,0.0,,AEP,"American Electric Power Co., Inc.",1.0,Kingsport Power Co.
